date,portfolio_value,daily_pnl,zscore_SLB_HAL,position_SLB_HAL,hedgert_SLB_HAL,value_SLB_HAL,zscore_PSX_VLO,position_PSX_VLO,hedgert_PSX_VLO,value_PSX_VLO,zscore_XOM_CVX,position_XOM_CVX,hedgert_XOM_CVX,value_XOM_CVX
2025-07-17,98714.36,30.72,-0.510392,flat,0.622434,32567.44,-0.545373,long_spread,0.869806,32813.59,-0.47983,flat,0.823836,33333.33
2025-07-18,98640.89,-73.48,-1.324812,flat,0.617329,32567.44,-0.59801,long_spread,0.857873,32740.12,-1.152633,flat,0.81027,33333.33
2025-07-21,98645.83,4.94,-1.094547,flat,0.612393,32567.44,-0.551551,long_spread,0.847291,32745.06,-0.996978,flat,0.802219,33333.33
2025-07-22,98791.07,145.24,-0.589235,flat,0.608586,32567.44,-0.320747,long_spread,0.849782,32890.3,-0.889434,flat,0.790917,33333.33
2025-07-23,98735.97,-55.1,-0.396775,flat,0.602883,32567.44,-0.330348,long_spread,0.847195,32835.2,-0.917526,flat,0.77369,33333.33
2025-07-24,99067.19,347.89,-0.624583,flat,0.589681,32567.44,0.08925,long_spread,0.853509,33166.42,-0.978988,flat,0.745455,33333.33
2025-07-25,99067.19,0.0,-0.443616,flat,0.580719,32567.44,-0.04914,flat,0.858084,33166.42,-0.885548,flat,0.726781,33333.33
2025-07-28,99067.19,0.0,-0.285188,flat,0.570175,32567.44,0.098821,flat,0.852517,33166.42,-0.764855,flat,0.711491,33333.33
2025-07-29,99067.19,0.0,-0.683482,flat,0.554277,32567.44,0.26622,flat,0.848521,33166.42,-0.491598,flat,0.704594,33333.33
2025-07-30,99067.19,0.0,-1.325252,flat,0.536449,32567.44,0.269132,flat,0.846596,33166.42,-0.297184,flat,0.701533,33333.33
2025-07-31,99067.19,0.0,-1.56517,flat,0.515467,32567.44,0.434133,flat,0.84078,33166.42,-0.124368,flat,0.697275,33333.33
2025-08-01,99067.19,0.0,-1.634419,flat,0.514335,32567.44,0.211682,flat,0.83256,33166.42,-0.545075,flat,0.694537,33333.33
2025-08-04,99067.19,0.0,-1.786951,flat,0.512727,32567.44,0.312497,flat,0.823618,33166.42,-1.011344,flat,0.685203,33333.33
2025-08-05,99067.19,0.0,-1.248756,flat,0.511566,32567.44,0.132772,flat,0.816305,33166.42,-1.229101,flat,0.671344,33333.33
2025-08-06,99067.19,0.0,-1.444924,flat,0.520296,32567.44,0.181111,flat,0.812512,33166.42,-1.328524,flat,0.658318,33333.33
2025-08-07,99067.19,0.0,-1.229776,flat,0.528752,32567.44,0.21172,flat,0.815719,33166.42,-1.448739,flat,0.639784,33333.33
2025-08-08,99067.19,0.0,-1.134353,flat,0.535249,32567.44,0.067178,flat,0.819779,33166.42,-1.372612,flat,0.616893,33333.33
2025-08-11,99067.19,0.0,-1.216044,flat,0.550311,32567.44,0.17855,flat,0.824041,33166.42,-1.394061,flat,0.599363,33333.33
